"SURVEY_NAME","MGT_AREA_CD","TOW_NO","TOW_TYPE_ID","START_LAT","START_LON","END_LAT","END_LON","DEPTH_F","SPECIES_ID","BIN_ID","LIVE_RAW","DEAD_RAW"
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,0,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,5,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,10,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,15,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,20,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,25,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,30,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,35,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,40,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,45,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,50,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,55,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,60,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,65,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,70,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,75,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,80,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,85,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,90,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,95,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,100,1,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,105,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,110,6,3
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,115,11,4
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,120,21,3
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,125,15,2
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,130,11,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,135,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,140,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,145,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,150,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,155,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,160,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,165,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,170,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,175,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,180,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,185,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,190,0,0
"GB2023.2","GBa",1,1,4200.9,-6617.88,4200.78,-6618.52,41,1,195,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,0,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,5,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,10,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,15,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,20,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,25,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,30,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,35,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,40,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,45,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,50,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,55,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,60,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,65,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,70,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,75,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,80,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,85,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,90,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,95,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,100,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,105,1,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,110,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,115,4,1
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,120,11,4
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,125,4,2
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,130,11,4
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,135,1,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,140,1,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,145,1,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,150,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,155,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,160,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,165,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,170,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,175,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,180,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,185,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,190,0,0
"GB2023.2","GBa",2,1,4200.52,-6618.39,4200.47,-6619.06,42,1,195,0,0
"GB2023.2","GBa",3,1,4200.94,-6619.56,4201.31,-6620.05,42,1,0,0,0
"GB2023.2","GBa",3,1,4200.94,-6619.56,4201.31,-6620.05,42,1,5,0,0
"GB2023.2","GBa",3,1,4200.94,-6619.56,4201.31,-6620.05,42,1,10,0,0
"GB2023.2","GBa",3,1,4200.94,-6619.56,4201.31,-6620.05,42,1,15,0,0
"GB2023.2","GBa",3,1,4200.94,-6619.56,4201.31,-6620.05,42,1,20,0,0
"GB2023.2","GBa",3,1,4200.94,-6619.56,4201.31,-6620.05,42,1,25,0,0
"GB2023.2","GBa",3,1,4200.94,-6619.56,4201.31,-6620.05,42,1,30,0,0
"GB2023.2","GBa",3,1,4200.94,-6619.56,4201.31,-6620.05,42,1,35,0,0
"GB2023.2","GBa",3,1,4200.94,-6619.56,4201.31,-6620.05,42,1,40,0,0
"GB2023.2","GBa",3,1,4200.94,-6619.56,4201.31,-6620.05,42,1,45,0,0
"GB2023.2","GBa",3,1,4200.94,-6619.56,4201.31,-6620.05,42,1,50,0,0
